requirement_id,method,object_sequence,assessment_object,source_page_start,source_page_end
IA.L2-3.5.7,INTERVIEW,1,Personnel with authenticator management responsibilities,134,135
IA.L2-3.5.7,INTERVIEW,2,personnel with information security responsibilities,134,135
IA.L2-3.5.7,INTERVIEW,3,system or network administrators,134,135
IA.L2-3.5.7,TEST,1,Mechanisms s upporting or implementing authenticator management capability,134,135
IA.L2-3.5.8,EXAMINE,1,Identification and authentication policy,136,137
IA.L2-3.5.8,EXAMINE,2,password policy,136,137
IA.L2-3.5.8,EXAMINE,3,procedures addressing authenticator management,136,137
IA.L2-3.5.8,EXAMINE,4,system security plan,136,137
IA.L2-3.5.8,EXAMINE,5,system design documentation,136,137
IA.L2-3.5.8,EXAMINE,6,system configuration settings and associated documentation,136,137
IA.L2-3.5.8,EXAMINE,7,password configurations and associated documentation,136,137
IA.L2-3.5.8,EXAMINE,8,other relevant documents or records,136,137
IA.L2-3.5.8,INTERVIEW,1,Personnel with authenticator management responsibilities,136,137
IA.L2-3.5.8,INTERVIEW,2,personnel with information security responsibilities,136,137
IA.L2-3.5.8,INTERVIEW,3,system or network administrators,136,137
IA.L2-3.5.8,INTERVIEW,4,system developers,136,137
IA.L2-3.5.8,TEST,1,Mechanisms supporting or implementing password -based authenticator management capability,136,137
IA.L2-3.5.9,EXAMINE,1,Identification and authentication policy,138,139
IA.L2-3.5.9,EXAMINE,2,password policy,138,139
IA.L2-3.5.9,EXAMINE,3,procedures addressing authenticator management,138,139
IA.L2-3.5.9,EXAMINE,4,system security plan,138,139
IA.L2-3.5.9,EXAMINE,5,system configuration settings and associated documentation,138,139
IA.L2-3.5.9,EXAMINE,6,system design documentation,138,139
IA.L2-3.5.9,EXAMINE,7,password configurations and associated documentation,138,139
IA.L2-3.5.9,EXAMINE,8,other relevant documents or records,138,139
IA.L2-3.5.9,INTERVIEW,1,Personnel with authenticator management responsibilities,138,139
IA.L2-3.5.9,INTERVIEW,2,personnel with information security responsibilities,138,139
IA.L2-3.5.9,INTERVIEW,3,system or network administrators,138,139
IA.L2-3.5.9,INTERVIEW,4,system developers,138,139
IA.L2-3.5.9,TEST,1,Mechanisms supporting or implementing password -based authenticator management capability,138,139
IA.L2-3.5.10,EXAMINE,1,Identification and authentication policy,140,141
IA.L2-3.5.10,EXAMINE,2,system security plan,140,141
IA.L2-3.5.10,EXAMINE,3,procedures addressing authenticator management,140,141
IA.L2-3.5.10,EXAMINE,4,procedures addressing user identification and authentication,140,141
IA.L2-3.5.10,EXAMINE,5,system design documentation,140,141
IA.L2-3.5.10,EXAMINE,6,list of system authenticator types,140,141
IA.L2-3.5.10,EXAMINE,7,system configuration settings and associated documentation,140,141
IA.L2-3.5.10,EXAMINE,8,change control records associated with managing system authenticators,140,141
IA.L2-3.5.10,EXAMINE,9,system audit logs and records,140,141
IA.L2-3.5.10,EXAMINE,10,other relevant documents or records,140,141
IA.L2-3.5.10,INTERVIEW,1,Personnel with authenticator management responsibilities,140,141
IA.L2-3.5.10,INTERVIEW,2,personnel with information security responsibilities,140,141
IA.L2-3.5.10,INTERVIEW,3,system or network administrators,140,141
IA.L2-3.5.10,TEST,1,Mechanisms supporting or implementing authenticator management capability,140,141
IA.L2-3.5.11,EXAMINE,1,Identification and authentication policy,142,143
IA.L2-3.5.11,EXAMINE,2,procedures addressing authenticator feedback,142,143
IA.L2-3.5.11,EXAMINE,3,system security plan,142,143
IA.L2-3.5.11,EXAMINE,4,system design documentation,142,143
IA.L2-3.5.11,EXAMINE,5,system configuration settings and associated documentation,142,143
IA.L2-3.5.11,EXAMINE,6,system audit logs and records,142,143
IA.L2-3.5.11,EXAMINE,7,other relevant documents or records,142,143
IA.L2-3.5.11,INTERVIEW,1,Personnel with information security responsibilities,142,143
IA.L2-3.5.11,INTERVIEW,2,system or network administrators,142,143
IA.L2-3.5.11,INTERVIEW,3,system developers,142,143
IA.L2-3.5.11,TEST,1,Mechanisms supporting or implementing the obscuring of feedback of authentication information during authentication,142,143
IR.L2-3.6.1,EXAMINE,1,Incident response policy,144,146
IR.L2-3.6.1,EXAMINE,2,contingency planning policy,144,146
IR.L2-3.6.1,EXAMINE,3,procedures addressing incident handling,144,146
IR.L2-3.6.1,EXAMINE,4,procedures addressing incident response assistance,144,146
IR.L2-3.6.1,EXAMINE,5,incident response plan,144,146
IR.L2-3.6.1,EXAMINE,6,contingency plan,144,146
IR.L2-3.6.1,EXAMINE,7,system security plan,144,146
IR.L2-3.6.1,EXAMINE,8,procedures addressing incident response training,144,146
IR.L2-3.6.1,EXAMINE,9,incident response training curriculum,144,146
IR.L2-3.6.1,EXAMINE,10,incident response training materials,144,146
IR.L2-3.6.1,EXAMINE,11,incident response training records,144,146
IR.L2-3.6.1,EXAMINE,12,other relevant documents or records,144,146
IR.L2-3.6.1,INTERVIEW,1,Personnel with incident handling responsibilities,144,146
IR.L2-3.6.1,INTERVIEW,2,personnel with contingency planning responsibilities,144,146
IR.L2-3.6.1,INTERVIEW,3,personnel with incident response training and operational responsibilities,144,146
IR.L2-3.6.1,INTERVIEW,4,personnel with incident response assistance and support responsibilities,144,146
IR.L2-3.6.1,INTERVIEW,5,personnel with access to incident response support and assistance capability,144,146
IR.L2-3.6.1,INTERVIEW,6,personnel with information security responsibilities,144,146
IR.L2-3.6.1,TEST,1,Incident-handling capability for the organization,144,146
IR.L2-3.6.1,TEST,2,organizational processes for incident response assistance,144,146
IR.L2-3.6.1,TEST,3,"mechanisms supporting or implementing incident response assistance]. 120 NIST SP 800-171A, p. 36. IR.L2-3.6.1 - Incident Handling",144,146
IR.L2-3.6.2,EXAMINE,1,Incident response policy,147,149
IR.L2-3.6.2,EXAMINE,2,procedures addressing incident monitoring,147,149
IR.L2-3.6.2,EXAMINE,3,incident response records and documentation,147,149
IR.L2-3.6.2,EXAMINE,4,procedures addressing incident reportin g,147,149
IR.L2-3.6.2,EXAMINE,5,incident reporting records and documentation,147,149
IR.L2-3.6.2,EXAMINE,6,incident response plan,147,149
IR.L2-3.6.2,EXAMINE,7,system security plan,147,149
IR.L2-3.6.2,EXAMINE,8,other relevant documents or records,147,149
IR.L2-3.6.2,INTERVIEW,1,Personnel with incident monitoring responsibilities,147,149
IR.L2-3.6.2,INTERVIEW,2,personnel with incident reporting responsibilities,147,149
IR.L2-3.6.2,INTERVIEW,3,personnel who have or should have reported incidents,147,149
IR.L2-3.6.2,INTERVIEW,4,personnel (authorities) to whom incident information is to be reported,147,149
IR.L2-3.6.2,INTERVIEW,5,personnel with information security responsibilities,147,149
IR.L2-3.6.2,TEST,1,Incident monitoring capability for the organization,147,149
IR.L2-3.6.2,TEST,2,mechanisms supporting or implementing tracking and documenting of system security incidents,147,149
IR.L2-3.6.2,TEST,3,organizational processes for incident reporting,147,149
IR.L2-3.6.2,TEST,4,mechanisms supporting or implementing incident reporting,147,149
IR.L2-3.6.3,EXAMINE,1,Incident response policy,150,151
IR.L2-3.6.3,EXAMINE,2,contingency planning policy,150,151
IR.L2-3.6.3,EXAMINE,3,procedures addressing incident response testing,150,151
IR.L2-3.6.3,EXAMINE,4,procedures addressing contingency plan testing,150,151
IR.L2-3.6.3,EXAMINE,5,incident response testing material,150,151
IR.L2-3.6.3,EXAMINE,6,incident response test results,150,151
IR.L2-3.6.3,EXAMINE,7,incident response test plan,150,151
IR.L2-3.6.3,EXAMINE,8,incident response plan,150,151
IR.L2-3.6.3,EXAMINE,9,contingency plan,150,151
IR.L2-3.6.3,EXAMINE,10,system security plan,150,151
IR.L2-3.6.3,EXAMINE,11,other relevant documents or records,150,151
IR.L2-3.6.3,INTERVIEW,1,Personnel with incident response testing responsibilities,150,151
IR.L2-3.6.3,INTERVIEW,2,personnel with information security responsibilities,150,151
IR.L2-3.6.3,INTERVIEW,3,personnel with responsibilities for testing plans related to incident response,150,151
IR.L2-3.6.3,TEST,1,Mechanisms and processes for incident response,150,151
MA.L2-3.7.1,EXAMINE,1,System maintenance policy,152,153
MA.L2-3.7.1,EXAMINE,2,procedures addressing controlled system maintenance,152,153
MA.L2-3.7.1,EXAMINE,3,maintenance records,152,153
MA.L2-3.7.1,EXAMINE,4,manufacturer or vendor maintenance specifications,152,153
MA.L2-3.7.1,EXAMINE,5,equipment sanitiz ation records,152,153
MA.L2-3.7.1,EXAMINE,6,media sanitization records,152,153
MA.L2-3.7.1,EXAMINE,7,system security plan,152,153
MA.L2-3.7.1,EXAMINE,8,other relevant documents or records,152,153
MA.L2-3.7.1,INTERVIEW,1,Personnel with system maintenance responsibilities,152,153
MA.L2-3.7.1,INTERVIEW,2,personnel with information security responsibilities,152,153
MA.L2-3.7.1,INTERVIEW,3,personnel responsible for media sanitization,152,153
MA.L2-3.7.1,INTERVIEW,4,system or network administrators,152,153
MA.L2-3.7.1,TEST,1,"Organizational processes for scheduling, performing, documenting, reviewing, approving, and monitoring maintenance and repairs for systems",152,153
MA.L2-3.7.1,TEST,2,organizational processes for sanitizing system components,152,153
MA.L2-3.7.1,TEST,3,mechanisms supporting or implementing controlled maintenance,152,153
MA.L2-3.7.1,TEST,4,mechanisms implementing sanitization of system components,152,153
MA.L2-3.7.2,EXAMINE,1,System maintenance policy,154,155
MA.L2-3.7.2,EXAMINE,2,procedures addressing system maintenance tools and media,154,155
MA.L2-3.7.2,EXAMINE,3,maintenance records,154,155
MA.L2-3.7.2,EXAMINE,4,system maintenance tools and associated documentation,154,155
MA.L2-3.7.2,EXAMINE,5,maintenance tool inspection records,154,155
MA.L2-3.7.2,EXAMINE,6,system security plan,154,155
MA.L2-3.7.2,EXAMINE,7,other relevant documents or records,154,155
MA.L2-3.7.2,INTERVIEW,1,Personnel with system maintenance responsibilities,154,155
MA.L2-3.7.2,INTERVIEW,2,personnel with information security responsibilities,154,155
MA.L2-3.7.2,TEST,1,"Organizational processes for approving, controlling, and monitoring maintenance tools",154,155
MA.L2-3.7.2,TEST,2,"mechanisms supporting or implementing approval, control, and monitoring of maintenance tools",154,155
MA.L2-3.7.2,TEST,3,organizational processes for inspecting maintenance tools,154,155
MA.L2-3.7.2,TEST,4,mechanisms supporting or implementing inspection of maintenance tools,154,155
MA.L2-3.7.2,TEST,5,organizational process for inspecting media for malicious code,154,155
MA.L2-3.7.2,TEST,6,mechanisms supporting or implementing inspection of media used for maintenance,154,155
MA.L2-3.7.3,EXAMINE,1,System maintenance policy,156,157
MA.L2-3.7.3,EXAMINE,2,procedures addressing controlled system maintenance,156,157
MA.L2-3.7.3,EXAMINE,3,maintenance records,156,157
MA.L2-3.7.3,EXAMINE,4,manufacturer or vendor maintenance specifications,156,157
MA.L2-3.7.3,EXAMINE,5,equipment sanitization records,156,157
MA.L2-3.7.3,EXAMINE,6,media sanitization records,156,157
MA.L2-3.7.3,EXAMINE,7,system security plan,156,157
MA.L2-3.7.3,EXAMINE,8,other relevant documents or records,156,157
MA.L2-3.7.3,INTERVIEW,1,Personnel with system maintenance responsibilities,156,157
MA.L2-3.7.3,INTERVIEW,2,personnel with information security responsibilities,156,157
MA.L2-3.7.3,INTERVIEW,3,personnel responsible for media sanitization,156,157
MA.L2-3.7.3,INTERVIEW,4,system or network administrators,156,157
MA.L2-3.7.3,TEST,1,"SELECT FR OM: Organizational processes for scheduling, performing, documenting, reviewing, approving, and monitoring maintenance and repairs for systems",156,157
MA.L2-3.7.3,TEST,2,organizational processes for sanitizing system components,156,157
MA.L2-3.7.3,TEST,3,mechanisms supporting or implementing controlled maintenance,156,157
MA.L2-3.7.3,TEST,4,mechanisms implementing sanitization of system components,156,157
MA.L2-3.7.4,EXAMINE,1,System maintenance policy,158,159
MA.L2-3.7.4,EXAMINE,2,procedures addressing system maintenance tools,158,159
MA.L2-3.7.4,EXAMINE,3,system maintenance tools and associated documentation,158,159
MA.L2-3.7.4,EXAMINE,4,maintenance records,158,159
MA.L2-3.7.4,EXAMINE,5,system security plan,158,159
MA.L2-3.7.4,EXAMINE,6,other relevant documents or records,158,159
MA.L2-3.7.4,INTERVIEW,1,Personnel with system maintenance responsibilities,158,159
MA.L2-3.7.4,INTERVIEW,2,personnel with information security responsibilities,158,159
MA.L2-3.7.4,TEST,1,Organizational process for inspecting media for malicious code,158,159
MA.L2-3.7.4,TEST,2,mechanisms supporting or implementing inspection of media used for maintenance,158,159
MA.L2-3.7.5,EXAMINE,1,System maintenance policy,160,162
MA.L2-3.7.5,EXAMINE,2,procedures addressing nonlocal system maintenance,160,162
MA.L2-3.7.5,EXAMINE,3,system security plan,160,162
MA.L2-3.7.5,EXAMINE,4,system design documentation,160,162
MA.L2-3.7.5,EXAMINE,5,system configuration settings and associated documentation,160,162
MA.L2-3.7.5,EXAMINE,6,maintenance records,160,162
MA.L2-3.7.5,EXAMINE,7,diagnostic records,160,162
MA.L2-3.7.5,EXAMINE,8,other relevant documents or records,160,162
MA.L2-3.7.5,INTERVIEW,1,Personnel with system maintenance responsibilities,160,162
MA.L2-3.7.5,INTERVIEW,2,personnel with information security responsibilities,160,162
MA.L2-3.7.5,INTERVIEW,3,system or network administrators,160,162
MA.L2-3.7.5,TEST,1,Organizational processes for managing nonlocal maintenance,160,162
MA.L2-3.7.5,TEST,2,"mechanisms implementing, supporting, and managing nonlocal maintenance",160,162
MA.L2-3.7.5,TEST,3,mechanisms for strong authentication of nonlocal maintenance diagnostic sessions,160,162
MA.L2-3.7.5,TEST,4,mechanisms for terminating nonlocal maintenance sessions and network connections,160,162
MA.L2-3.7.6,EXAMINE,1,System maintenance policy,163,164
MA.L2-3.7.6,EXAMINE,2,procedures addressing maintenance personnel,163,164
MA.L2-3.7.6,EXAMINE,3,service provider contracts,163,164
MA.L2-3.7.6,EXAMINE,4,service- level agreements,163,164
MA.L2-3.7.6,EXAMINE,5,list of authorized personnel,163,164
MA.L2-3.7.6,EXAMINE,6,maintenance records,163,164
MA.L2-3.7.6,EXAMINE,7,access control records,163,164
MA.L2-3.7.6,EXAMINE,8,system security plan,163,164
MA.L2-3.7.6,EXAMINE,9,other relevant documents or records,163,164
MA.L2-3.7.6,INTERVIEW,1,Personnel with system maintenance responsibilities,163,164
MA.L2-3.7.6,INTERVIEW,2,personnel with information security responsibilities,163,164
MA.L2-3.7.6,TEST,1,Organizational processes for authorizing and managing maintenance personnel,163,164
MA.L2-3.7.6,TEST,2,mechanisms supporting or implementing authorization of maintenance personnel,163,164
MP.L2-3.8.1,EXAMINE,1,System media protection policy,165,166
MP.L2-3.8.1,EXAMINE,2,procedures addressing media storage,165,166
MP.L2-3.8.1,EXAMINE,3,procedures addressing media access restrictions,165,166
MP.L2-3.8.1,EXAMINE,4,access control policy and procedures,165,166
MP.L2-3.8.1,EXAMINE,5,physical and environmental protection policy and procedures,165,166
MP.L2-3.8.1,EXAMINE,6,system security plan,165,166
MP.L2-3.8.1,EXAMINE,7,media storage facilities,165,166
MP.L2-3.8.1,EXAMINE,8,access control records,165,166
MP.L2-3.8.1,EXAMINE,9,other relevant documents or records,165,166
MP.L2-3.8.1,INTERVIEW,1,Personnel with system media protection responsibilities,165,166
MP.L2-3.8.1,INTERVIEW,2,personnel with information security responsibilities,165,166
MP.L2-3.8.1,INTERVIEW,3,system or network administrators,165,166
MP.L2-3.8.1,TEST,1,Organizat ional processes for restricting information media,165,166
MP.L2-3.8.1,TEST,2,mechanisms supporting or implementing media access restrictions,165,166
MP.L2-3.8.2,EXAMINE,1,System media protection policy,167,168
MP.L2-3.8.2,EXAMINE,2,procedures addressing media storage,167,168
MP.L2-3.8.2,EXAMINE,3,physical and environmental protection policy and procedures,167,168
MP.L2-3.8.2,EXAMINE,4,access control policy and procedures,167,168
MP.L2-3.8.2,EXAMINE,5,system security plan,167,168
MP.L2-3.8.2,EXAMINE,6,system media,167,168
MP.L2-3.8.2,EXAMINE,7,designated controlled areas,167,168
MP.L2-3.8.2,EXAMINE,8,other relevant documents or records,167,168
MP.L2-3.8.2,INTERVIEW,1,Personnel with system media protection and storage responsibilities,167,168
MP.L2-3.8.2,INTERVIEW,2,personnel with information security responsibilities,167,168
MP.L2-3.8.2,TEST,1,Organizational processes for storing media,167,168
MP.L2-3.8.2,TEST,2,mechanisms supporting or implementing secure media storage and media protection,167,168
MP.L2-3.8.3,EXAMINE,1,System media protection policy,169,170
MP.L2-3.8.3,EXAMINE,2,procedures addressing media sanitization and disposal,169,170
MP.L2-3.8.3,EXAMINE,3,applicable standards and policies addressing media sanitization,169,170
MP.L2-3.8.3,EXAMINE,4,system security plan,169,170
MP.L2-3.8.3,EXAMINE,5,media sanitization records,169,170
MP.L2-3.8.3,EXAMINE,6,system audit logs and records,169,170
MP.L2-3.8.3,EXAMINE,7,system design documentation,169,170
MP.L2-3.8.3,EXAMINE,8,system configuration settings and associated documentation,169,170
MP.L2-3.8.3,EXAMINE,9,other relevant documents or records,169,170
MP.L2-3.8.3,INTERVIEW,1,Personnel with media sanitization responsibilities,169,170
MP.L2-3.8.3,INTERVIEW,2,personnel with information security responsibilities,169,170
MP.L2-3.8.3,INTERVIEW,3,system or network administrators,169,170
MP.L2-3.8.3,TEST,1,Organizational processes for media sanitization,169,170
MP.L2-3.8.3,TEST,2,mechanisms supporting or implementing media sanitization,169,170
MP.L2-3.8.4,EXAMINE,1,System media protection policy,171,172
MP.L2-3.8.4,EXAMINE,2,procedures addressing media marking,171,172
MP.L2-3.8.4,EXAMINE,3,physical and environmental protection policy and procedures,171,172
MP.L2-3.8.4,EXAMINE,4,system security plan,171,172
MP.L2-3.8.4,EXAMINE,5,list of system media marking security attributes,171,172
MP.L2-3.8.4,EXAMINE,6,designated controlled areas,171,172
MP.L2-3.8.4,EXAMINE,7,other relevant documents or records,171,172
MP.L2-3.8.4,INTERVIEW,1,Personnel with system media protection and marking responsibilities,171,172
MP.L2-3.8.4,INTERVIEW,2,personnel with information security responsibilities,171,172
MP.L2-3.8.4,TEST,1,Organizational processes for marking information media,171,172
MP.L2-3.8.4,TEST,2,mechanisms supporting or implementing media marking,171,172
MP.L2-3.8.5,EXAMINE,1,System media protection policy,173,174
MP.L2-3.8.5,EXAMINE,2,procedures addressing media storage,173,174
MP.L2-3.8.5,EXAMINE,3,physical and environmental protection policy and procedures,173,174
MP.L2-3.8.5,EXAMINE,4,access control policy and procedures,173,174
MP.L2-3.8.5,EXAMINE,5,system security plan,173,174
MP.L2-3.8.5,EXAMINE,6,system media,173,174
MP.L2-3.8.5,EXAMINE,7,designated controlled areas,173,174
MP.L2-3.8.5,EXAMINE,8,other relevant documents or records,173,174
MP.L2-3.8.5,INTERVIEW,1,Personnel with system media protection and storage responsibilities,173,174
MP.L2-3.8.5,INTERVIEW,2,personnel with information security responsibilities,173,174
MP.L2-3.8.5,INTERVIEW,3,system or network administrators,173,174
MP.L2-3.8.5,TEST,1,Organizational processes for storing media,173,174
MP.L2-3.8.5,TEST,2,mechanisms supporting or implementing media storage and media protection,173,174
MP.L2-3.8.6,EXAMINE,1,System media protection policy,175,176
MP.L2-3.8.6,EXAMINE,2,procedures addressing media transport,175,176
MP.L2-3.8.6,EXAMINE,3,system design documentation,175,176
MP.L2-3.8.6,EXAMINE,4,system security plan,175,176
MP.L2-3.8.6,EXAMINE,5,system configuration settings and associated documentation,175,176
MP.L2-3.8.6,EXAMINE,6,system media transport records,175,176
MP.L2-3.8.6,EXAMINE,7,system audit logs and records,175,176
MP.L2-3.8.6,EXAMINE,8,other relevant documents or records,175,176
MP.L2-3.8.6,INTERVIEW,1,Personnel with system media transport responsibilities,175,176
MP.L2-3.8.6,INTERVIEW,2,personnel with information security responsibilities,175,176
MP.L2-3.8.6,TEST,1,Cryptographic mechanisms protecting information on digital media during transportation outside controlled areas,175,176
MP.L2-3.8.7,EXAMINE,1,System media protection policy,177,178
MP.L2-3.8.7,EXAMINE,2,system use policy,177,178
MP.L2-3.8.7,EXAMINE,3,procedures addressing media usage restrictions,177,178
MP.L2-3.8.7,EXAMINE,4,system security plan,177,178
MP.L2-3.8.7,EXAMINE,5,rules of behavior,177,178
MP.L2-3.8.7,EXAMINE,6,system design documentation,177,178
MP.L2-3.8.7,EXAMINE,7,system configuration settings and associated documentation,177,178
MP.L2-3.8.7,EXAMINE,8,system audit logs and records,177,178
MP.L2-3.8.7,EXAMINE,9,other relevant documents or records,177,178
MP.L2-3.8.7,INTERVIEW,1,Personnel with system media use responsibilities,177,178
MP.L2-3.8.7,INTERVIEW,2,personnel with information security responsibilities,177,178
MP.L2-3.8.7,INTERVIEW,3,system or network administrators,177,178
MP.L2-3.8.7,TEST,1,Organizational processes for media use,177,178
MP.L2-3.8.7,TEST,2,mechanisms restricting or prohibiting use of system media on systems or system components,177,178
MP.L2-3.8.8,EXAMINE,1,System media protection policy,179,180
MP.L2-3.8.8,EXAMINE,2,system use policy,179,180
MP.L2-3.8.8,EXAMINE,3,procedures addressing media usage restrictions,179,180
MP.L2-3.8.8,EXAMINE,4,system security plan,179,180
MP.L2-3.8.8,EXAMINE,5,rules of behavior,179,180
MP.L2-3.8.8,EXAMINE,6,system configuration settings and associated documentation,179,180
MP.L2-3.8.8,EXAMINE,7,system design documentation,179,180
MP.L2-3.8.8,EXAMINE,8,system audit logs and records,179,180
MP.L2-3.8.8,EXAMINE,9,other relevant documents or records,179,180
MP.L2-3.8.8,INTERVIEW,1,Personnel with system media use responsibilities,179,180
MP.L2-3.8.8,INTERVIEW,2,personnel with information security responsibilities,179,180
MP.L2-3.8.8,INTERVIEW,3,system or network administrators,179,180
MP.L2-3.8.8,TEST,1,SELECT FRO M: Organizational processes for media use,179,180
MP.L2-3.8.8,TEST,2,mechanisms prohibiting use of media on systems or system components,179,180
MP.L2-3.8.9,EXAMINE,1,Procedures addressing system backup,181,182
MP.L2-3.8.9,EXAMINE,2,system configuration settings and associated documentation,181,182
MP.L2-3.8.9,EXAMINE,3,security plan,181,182
MP.L2-3.8.9,EXAMINE,4,backup storage locations,181,182
MP.L2-3.8.9,EXAMINE,5,system backup logs or records,181,182
MP.L2-3.8.9,EXAMINE,6,other relevant documents or records,181,182
MP.L2-3.8.9,INTERVIEW,1,Personnel with system backup responsibilities,181,182
MP.L2-3.8.9,INTERVIEW,2,personnel with information security responsibilities,181,182
MP.L2-3.8.9,TEST,1,Organizational processes for conducting system backups,181,182
MP.L2-3.8.9,TEST,2,mechanisms supporting or implementing system backups,181,182
PS.L2-3.9.1,EXAMINE,1,Personnel security policy,183,184
PS.L2-3.9.1,EXAMINE,2,procedures addressing personnel screening,183,184
PS.L2-3.9.1,EXAMINE,3,records of screened personnel,183,184
PS.L2-3.9.1,EXAMINE,4,system security plan,183,184
PS.L2-3.9.1,EXAMINE,5,other relevant documents or records,183,184
PS.L2-3.9.1,INTERVIEW,1,Personnel with personnel security responsibilities,183,184
PS.L2-3.9.1,INTERVIEW,2,personnel with information security responsibilities,183,184
PS.L2-3.9.1,TEST,1,Organizational processes for personnel screening,183,184
PS.L2-3.9.2,EXAMINE,1,Personnel security policy,185,187
PS.L2-3.9.2,EXAMINE,2,procedures addressing personnel transfer and termination,185,187
PS.L2-3.9.2,EXAMINE,3,records of personnel transfer and termination actions,185,187
PS.L2-3.9.2,EXAMINE,4,list of system accounts,185,187
PS.L2-3.9.2,EXAMINE,5,records of terminated or revoked authenticators and credentials,185,187
PS.L2-3.9.2,EXAMINE,6,records of exit interviews,185,187
PS.L2-3.9.2,EXAMINE,7,other relevant documents or records,185,187
PS.L2-3.9.2,INTERVIEW,1,Personnel with personnel security responsibilities,185,187
PS.L2-3.9.2,INTERVIEW,2,personnel with account management responsibilities,185,187
PS.L2-3.9.2,INTERVIEW,3,system or network administrators,185,187
PS.L2-3.9.2,INTERVIEW,4,personnel with information security responsibilities,185,187
PS.L2-3.9.2,TEST,1,Organizational processes for personnel transfer and termination,185,187
PS.L2-3.9.2,TEST,2,mechanisms supporting or implementing personnel transfer and termination notifications,185,187
PS.L2-3.9.2,TEST,3,mechanisms for disabling system access and revoking authenticators,185,187
PE.L2-3.10.1,EXAMINE,1,Physical and environmental protection policy,188,189
PE.L2-3.10.1,EXAMINE,2,procedures addressing physical access authorizations,188,189
PE.L2-3.10.1,EXAMINE,3,system security plan,188,189
PE.L2-3.10.1,EXAMINE,4,authorized personnel access list,188,189
PE.L2-3.10.1,EXAMINE,5,authorization credentials,188,189
PE.L2-3.10.1,EXAMINE,6,physical access list reviews,188,189
PE.L2-3.10.1,EXAMINE,7,physical access termination records and associated documentation,188,189
PE.L2-3.10.1,EXAMINE,8,other relevant documents or records,188,189
PE.L2-3.10.1,INTERVIEW,1,Personnel with physical access authorization responsibilities,188,189
PE.L2-3.10.1,INTERVIEW,2,personnel with physical access to system facility,188,189
PE.L2-3.10.1,INTERVIEW,3,personnel with information security responsibilities,188,189
PE.L2-3.10.1,TEST,1,Organizational processes for physical access authorizations,188,189
PE.L2-3.10.1,TEST,2,mechanisms supporting or implementing physical access authorizations,188,189
PE.L2-3.10.2,EXAMINE,1,Physical and environmental protection policy,190,191
PE.L2-3.10.2,EXAMINE,2,procedures addressing physical access monitoring,190,191
PE.L2-3.10.2,EXAMINE,3,system security plan,190,191
PE.L2-3.10.2,EXAMINE,4,physical access logs or records,190,191
PE.L2-3.10.2,EXAMINE,5,physical access monitoring records,190,191
PE.L2-3.10.2,EXAMINE,6,physical access log reviews,190,191
PE.L2-3.10.2,EXAMINE,7,other relevant documents or records,190,191
PE.L2-3.10.2,INTERVIEW,1,Personnel with physical access monitoring responsibilities,190,191
PE.L2-3.10.2,INTERVIEW,2,personnel with incident response responsibilities,190,191
PE.L2-3.10.2,INTERVIEW,3,personnel with information security responsibilities,190,191
PE.L2-3.10.2,TEST,1,Organizational processes for monitoring physical access,190,191
PE.L2-3.10.2,TEST,2,mechanisms supporting or implementing physical access monitoring,190,191
PE.L2-3.10.2,TEST,3,mechanisms supporting or implementing the review of physical access logs,190,191
PE.L2-3.10.3,EXAMINE,1,Physical and environmental protection policy,192,193
PE.L2-3.10.3,EXAMINE,2,procedures addressing physical access control,192,193
PE.L2-3.10.3,EXAMINE,3,system security plan,192,193
PE.L2-3.10.3,EXAMINE,4,physical access control logs or records,192,193
PE.L2-3.10.3,EXAMINE,5,inventory records of physical access control devices,192,193
PE.L2-3.10.3,EXAMINE,6,system entry and exit points,192,193
PE.L2-3.10.3,EXAMINE,7,records of key and lock combination changes,192,193
PE.L2-3.10.3,EXAMINE,8,storage locations for physical access control devices,192,193
PE.L2-3.10.3,EXAMINE,9,physical access control devices,192,193
PE.L2-3.10.3,EXAMINE,10,list of security safeguards controlling access to designated publicly accessible areas within facility,192,193
PE.L2-3.10.3,EXAMINE,11,other relevant documents or records,192,193
PE.L2-3.10.3,INTERVIEW,1,Personnel with physical access control responsibilities,192,193
PE.L2-3.10.3,INTERVIEW,2,personnel with information security responsibilities,192,193
PE.L2-3.10.3,TEST,1,Organizatio nal processes for physical access control,192,193
PE.L2-3.10.3,TEST,2,mechanisms supporting or implementing physical access control,192,193
PE.L2-3.10.3,TEST,3,physical access control devices,192,193
PE.L2-3.10.4,EXAMINE,1,Physical and environmental protection policy,194,195
PE.L2-3.10.4,EXAMINE,2,procedures addressing physical access control,194,195
PE.L2-3.10.4,EXAMINE,3,system security plan,194,195
PE.L2-3.10.4,EXAMINE,4,physical access control logs or records,194,195
PE.L2-3.10.4,EXAMINE,5,inventory records of physical access control devices,194,195
PE.L2-3.10.4,EXAMINE,6,system entry and exit points,194,195
PE.L2-3.10.4,EXAMINE,7,records of key and lock combina tion changes,194,195
PE.L2-3.10.4,EXAMINE,8,storage locations for physical access control devices,194,195
PE.L2-3.10.4,EXAMINE,9,physical access control devices,194,195
PE.L2-3.10.4,EXAMINE,10,list of security safeguards controlling access to designated publicly accessible areas within facility,194,195
PE.L2-3.10.4,EXAMINE,11,other relevant documents or records,194,195
